127.0.0.1 - - [16/Oct/2025:15:18:19 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:18:20 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:18:20 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:18:20 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:18:24 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:19:31 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:19:33 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:19:39 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:19:39 +0900] "GET /Ex0925_api/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:19:39 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:19:39 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:19:43 +0900] "GET /Ex0925_api/list.do?search_txt=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 27307
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:21:04 +0900] "GET /Ex0925_api/book_search.jsp HTTP/1.1" 200 1742
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:21:04 +0900] "GET /Ex0925_api/css/book.css HTTP/1.1" 200 2374
