127.0.0.1 - - [16/Oct/2025:16:47:53 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:47:54 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:47:54 +0900] "GET /mail/resources/css/MailSender.css HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:47:54 +0900] "GET /mail/resources/js/httpRequest.js HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:47:54 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:51:35 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:51:35 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:51:36 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:51:36 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:51:36 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:52:42 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:52:43 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:52:43 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:52:43 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:52:54 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:53:34 +0900] "GET /mail/ HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:54:52 +0900] "GET /mail/ HTTP/1.1" 200 2157
